ABAB
ABAb
ABAβ
ABaB
ABab
ABaβ
ABαB
ABαb
ABαβ
AbAb
AbAβ
AbaB
Abab
Abaβ
AbαB
Abαb
Abαβ
AβAβ
AβaB
Aβab
Aβaβ
AβαB
Aβαb
Aβαβ
aBaB
aBab
aBaβ
aBαB
aBαb
aBαβ
abab
abaβ
abαB
abαb
abαβ
aβaβ
aβαB
aβαb
aβαβ
αBαB
αBαb
αBαβ
αbαb
αbαβ
αβαβ
